codlegislatura,datemissao,idedocumento,idecadastro,indtipodocumento,nucarteiraparlamentar,nudeputadoid,nulegislatura,numano,numespecificacaosubcota,numlote,nummes,numparcela,numressarcimento,numsubcota,sgpartido,sguf,txnomeparlamentar,txtcnpjcpf,txtdescricao,txtdescricaoespecificacao,txtfornecedor,txtnumero,txtpassageiro,txttrecho,vlrdocumento,vlrglosa,vlrliquido,vlrrestituicao
56,2020-02-03 00:00:00,7005488,,4,,2439,2019,2020,1,1672130,2,0,,3,PT,NA,LIDERANÇA DO PT,37063328001058,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,AUTO SHOPPING DERIVADO DE PETROLEO LTDA,659284,,,139.76,0,139.76,
56,2020-03-03 00:00:00,7026767,,4,,2439,2019,2020,1,1682517,3,0,,3,PT,NA,LIDERANÇA DO PT,00306597005166,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,503298,,,167.65,0,167.65,
56,2020-01-07 00:00:00,6994699,,4,,2439,2019,2020,1,1667169,1,0,,3,PT,NA,LIDERANÇA DO PT,00306597007100,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,900131,,,200,0,200,
56,2020-01-14 00:00:00,6996714,,4,,2439,2019,2020,1,1667983,1,0,,3,PT,NA,LIDERANÇA DO PT,00306597007100,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,910876,,,231.64,0,231.64,
56,2020-01-22 00:00:00,6997027,,4,,2439,2019,2020,1,1668115,1,0,,3,PT,NA,LIDERANÇA DO PT,00306597007100,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,923812,,,220.52,0,220.52,
56,2020-02-10 00:00:00,7009135,,4,,2439,2019,2020,1,1673725,2,0,,3,PT,NA,LIDERANÇA DO PT,08884038000186,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,FRATELLI POSTO DE COMBUSTIVEIS LTDA,1760,,,190.05,0,190.05,
56,2020-02-17 00:00:00,7014622,,4,,2439,2019,2020,1,1676156,2,0,,3,PT,NA,LIDERANÇA DO PT,08884038000186,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,FRATELLI POSTO DE COMBUSTIVEIS LTDA,3525,,,219.51,0,219.51,
56,2020-03-02 00:00:00,7022576,,4,,2439,2019,2020,1,1680631,3,0,,3,PT,NA,LIDERANÇA DO PT,08884038000186,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,FRATELLI POSTO DE COMBUSTIVEIS LTDA,5778,,,224.02,0,224.02,
56,2020-01-29 00:00:00,7000239,,4,,2439,2019,2020,1,1669822,1,0,,3,PT,NA,LIDERANÇA DO PT,08884038000186,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,FRATELLI POSTO DE COMBUSTIVEIS LTDA,962,,,195.03,0,195.03,
56,2020-02-03 00:00:00,7002571,,4,,2439,2019,2020,1,1670768,2,0,,3,PT,NA,LIDERANÇA DO PT,08414749000197,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,G3 Auto Posto Ltda Epp,415130,,,156.93,0,156.93,
56,2020-01-13 00:00:00,6994686,,0,,2439,2019,2020,0,1667167,1,0,,5,PT,NA,LIDERANÇA DO PT,15146943000102,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,AP SELF MEDIA COMUNICAÇÃO LTDA EPP,103,,,968,0,968,
56,2020-02-03 00:00:00,7002616,,0,,2439,2019,2020,0,1670791,2,0,,5,PT,NA,LIDERANÇA DO PT,15146943000102,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,AP SELF MEDIA COMUNICAÇÃO LTDA EPP,104,,,1011.56,0,1011.56,
56,2020-03-04 00:00:00,7026566,,0,,2439,2019,2020,0,1682440,3,0,,5,PT,NA,LIDERANÇA DO PT,15146943000102,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,AP SELF MEDIA COMUNICAÇÃO LTDA EPP,105,,,1011.56,0,1011.56,
56,2020-01-31 00:00:00,7001385,,4,,2439,2019,2020,0,1670234,1,0,,5,PT,NA,LIDERANÇA DO PT,08865615000192,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,WORKING ASSOCIACAO DE INTEGRACAO PROFISSIONAL,17944,,,4200,0,4200,
56,2020-01-01 00:00:00,6994730,,0,,2439,2019,2020,0,1667184,1,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,12700420970741,,,1307.6,0,1307.6,
56,2020-01-04 00:00:00,6994737,,0,,2439,2019,2020,0,1667186,1,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,12700421161315,WADIH NEMER DAMOUS FILHO;,,1023.62,0,1023.62,
56,2020-01-04 00:00:00,6994712,,0,,2439,2019,2020,0,1667172,1,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,12700421162446,,,1275.03,0,1275.03,
56,2020-01-14 00:00:00,6996753,,0,,2439,2019,2020,0,1667998,1,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,12700421979064,,,3836.42,0,3836.42,
56,2020-01-22 00:00:00,6999927,,0,,2439,2019,2020,0,1669690,1,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,12700423067124,CLEIDE DE AMORIM;,,1156.36,0,1156.36,
56,2020-02-02 00:00:00,7007199,,0,,2439,2019,2020,0,1672860,2,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,12700423990712,,,1086.57,0,1086.57,
56,2020-02-02 00:00:00,7009720,,0,,2439,2019,2020,0,1673938,2,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,12700423990973,,,1358.47,0,1358.47,
56,2020-02-02 00:00:00,7014675,,0,,2439,2019,2020,0,1676177,2,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,12700423991519,,,1085.79,0,1085.79,
56,2020-02-02 00:00:00,7014741,,0,,2439,2019,2020,0,1676207,2,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,12700423991751,,,897.47,0,897.47,
56,2020-02-03 00:00:00,7014644,,0,,2439,2019,2020,0,1676166,2,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,12700424083674,MARCELO JOAQUIM DE SOUZA; MARCELO JOAQUIM DE SOUZA;,,961.36,0,961.36,
56,2020-02-11 00:00:00,7010637,,0,,2439,2019,2020,0,1674380,2,0,,9,PT,NA,LIDERANÇA DO PT,07575651000159,PASSAGENS AÉREAS,,GOL LINHAS AEREAS S.A.,298923170,,,1086.57,0,1086.57,
56,2020-01-01 00:00:00,6994704,,0,,2439,2019,2020,0,1667170,1,0,,9,PT,NA,LIDERANÇA DO PT,02012862000160,PASSAGENS AÉREAS,,LATAM AIRLINES,9572121448740,,,1686.57,0,1686.57,
56,2020-01-10 00:00:00,7001142,,0,,2439,2019,2020,0,1670157,1,0,,9,PT,NA,LIDERANÇA DO PT,02012862000160,PASSAGENS AÉREAS,,LATAM AIRLINES,9572122394120,MAGDA BEATRIS DA SILVA;,,747.03,0,747.03,
56,2020-02-14 00:00:00,7022373,,0,,2439,2019,2020,0,1680547,2,0,,10,PT,NA,LIDERANÇA DO PT,02558157000162,TELEFONIA,,Telefônica Brasil S.A. VIVO,780817,,,28.95,0,28.95,
56,2020-02-11 00:00:00,7013200,,4,,2439,2019,2020,0,1675575,2,0,,13,PT,NA,LIDERANÇA DO PT,08796076000691,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,BRASIL 21 EVENTOS E HOTELARIA LTDA,6037,,,41.8,3.8,38,
56,2020-02-19 00:00:00,7020463,,4,,2439,2019,2020,0,1679858,2,0,,13,PT,NA,LIDERANÇA DO PT,26612152000139,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,CELESTINA DO VALE NOGUEIRA 87052296691,4,,,2125,0,2125,
56,2020-02-19 00:00:00,7020467,,4,,2439,2019,2020,0,1679858,2,0,,13,PT,NA,LIDERANÇA DO PT,26612152000139,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,CELESTINA DO VALE NOGUEIRA 87052296691,5,,,2000,0,2000,
56,2020-02-19 00:00:00,7020465,,4,,2439,2019,2020,0,1679858,2,0,,13,PT,NA,LIDERANÇA DO PT,26612152000139,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,CELESTINA DO VALE NOGUEIRA 87052296691,6,,,2000,0,2000,
56,2020-02-11 00:00:00,7013208,,4,,2439,2019,2020,0,1675575,2,0,,13,PT,NA,LIDERANÇA DO PT,33469172000672,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,78987,,,24.55,0,24.55,
56,2020-02-06 00:00:00,7008516,,4,,2439,2019,2020,0,1673461,2,0,,13,PT,NA,LIDERANÇA DO PT,07286731000194,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,SILT SELF SERVICE EIRELI ME,24384,,,32.2,0,32.2,
56,2020-01-31 00:00:00,7005015,,4,,2439,2019,2020,0,1671953,1,0,,120,PT,NA,LIDERANÇA DO PT,07319323000191,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,,PANTANAL VEÍCULOS LTDA,2953,,,2250,0,2250,
56,2020-01-13 00:00:00,6995770,,4,,2806,2019,2020,0,1667596,1,0,,1,LIDMIN,NA,LIDMIN,08532429000131,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,AMORETTO CAFES EXPRESSO LTDA,25090,,,983.5,0,983.5,
56,2020-02-04 00:00:00,7010681,,4,,2806,2019,2020,0,1674398,2,0,,1,LIDMIN,NA,LIDMIN,08532429000131,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,AMORETTO CAFES EXPRESSO LTDA,25220,,,983.5,0,983.5,
56,2020-01-18 00:00:00,6996975,,1,,3441,2019,2020,0,1668096,1,0,,1,NOVO,NA,NOVO,00000000000010,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,ADOBE SYSTEMS SOFTWARE,1137944892,,,124,0,124,
56,2020-02-18 00:00:00,7018670,,1,,3441,2019,2020,0,1678468,1,0,,1,NOVO,NA,NOVO,00000000000010,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,ADOBE SYSTEMS SOFTWARE,1152211755,,,124,0,124,
56,2020-02-07 00:00:00,7009849,,0,,3441,2019,2020,0,1674017,2,0,,1,NOVO,NA,NOVO,14998747000195,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,TKTL INFORMATICA LTDA,00031989,,,294.75,0,294.75,
56,2020-02-18 00:00:00,7019970,,1,,3441,2019,2020,0,1679609,1,0,,1,NOVO,NA,NOVO,00000000000010,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,ZAPIER INC.,01,,,266.22,0,266.22,
56,2020-01-18 00:00:00,6996964,,1,,3441,2019,2020,0,1668094,1,0,,1,NOVO,NA,NOVO,00000000000010,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,ZAPIER INC.,03,,,256.53,0,256.53,
56,2020-01-03 00:00:00,6993384,,0,,3441,2019,2020,0,1666683,1,0,,5,NOVO,NA,NOVO,14998747000195,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,TKTL INFORMATICA LTDA,00031028,,,278.8,0,278.8,
56,2020-01-29 00:00:00,7010709,,4,,2715,2019,2020,0,1674403,1,0,,1,PDT,NA,PDT,20238832000158,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,TAZZA COMERCIO DE MAQUINAS E INSUMOS EIRELI  ME,13940,,,450,0,450,
56,2020-01-31 00:00:00,7002914,,4,,2715,2019,2020,0,1670954,1,0,,5,PDT,NA,PDT,08345631000154,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,LIBRE COMUNICAÇÃO E MARKETING EIRELI,196,,,10000,0,10000,
56,2020-03-02 00:00:00,7023188,,4,,2715,2019,2020,0,1680908,2,0,,5,PDT,NA,PDT,08345631000154,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,LIBRE COMUNICAÇÃO E MARKETING EIRELI,205,,,10000,0,10000,
56,2020-01-02 00:00:00,6992559,,4,,3172,2019,2020,0,1666363,1,0,,1,PODE,NA,PODE,05322090000150,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,MAP COMERCIO,27339,,,734.2,0,734.2,
56,2020-01-08 00:00:00,6993154,,0,,3172,2019,2020,0,1666589,1,0,,5,PODE,NA,PODE,26424907000171,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,"IV5 CONSULTORIA, IMPRENSA E TREINAMENTO LTDA",00000072,,,1000,0,1000,
56,2020-02-03 00:00:00,7002249,,0,,3172,2019,2020,0,1670618,2,0,,5,PODE,NA,PODE,26424907000171,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,"IV5 CONSULTORIA, IMPRENSA E TREINAMENTO LTDA",00000075,,,1000,0,1000,
56,2020-02-03 00:00:00,7002278,,4,,3172,2019,2020,0,1670617,1,0,,5,PODE,NA,PODE,10947243000195,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,LINEAR COMUNICACAO LTDA - EPP,2675,,,540,0,540,
56,2020-02-05 00:00:00,7007311,,4,,3172,2019,2020,0,1672949,2,0,,13,PODE,NA,PODE,22836210000157,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,ARTESANAL SERVICOS DE ALIMENTACAO E BUFFET EIRELI,18,,,840,0,840,
56,2020-02-05 00:00:00,7007315,,4,,3172,2019,2020,0,1672950,2,0,,13,PODE,NA,PODE,22836210000157,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,ARTESANAL SERVICOS DE ALIMENTACAO E BUFFET EIRELI,19,,,525,0,525,
56,2020-02-12 00:00:00,7013001,,4,,3172,2019,2020,0,1675492,2,0,,13,PODE,NA,PODE,22836210000157,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,ARTESANAL SERVICOS DE ALIMENTACAO E BUFFET EIRELI,24,,,640,0,640,
56,2020-02-19 00:00:00,7014574,,4,,3172,2019,2020,0,1676127,2,0,,13,PODE,NA,PODE,22836210000157,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,ARTESANAL SERVICOS DE ALIMENTACAO E BUFFET EIRELI,33,,,525,0,525,
56,2020-02-28 00:00:00,7022261,,4,,3172,2019,2020,0,1680501,2,0,,13,PODE,NA,PODE,22836210000157,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,ARTESANAL SERVICOS DE ALIMENTACAO E BUFFET EIRELI,34,,,800,0,800,
56,2020-02-18 00:00:00,7018222,,4,,3172,2019,2020,0,1678275,2,0,,13,PODE,NA,PODE,27644256000198,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,RESTAURANTE FIGUEIRA DA VILLA EIRELI - ME,8344,,,1321.76,0,1321.76,
56,2020-02-20 00:00:00,7021439,,0,,3461,2019,2020,0,1680199,2,0,,13,PP,NA,PP,20869131000117,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,RONILDA FRANCISCA RIBEIRO DOS REIS,001658300,,,8000,0,8000,
56,2020-02-28 00:00:00,7023529,,4,,2865,2019,2020,0,1681050,2,0,,1,PROS,NA,PROS,20238832000158,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,TAZZA COMERCIO DE MAQUINAS E INSUMOS EIRELI  ME,14228,,,400,0,400,
56,2020-02-20 00:00:00,7021159,,4,,2865,2019,2020,0,1680109,2,0,,13,PROS,NA,PROS,16978144000157,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,ANGELICA NOGUEIRA DOS SANTOS,7,,,3500,0,3500,
56,2020-01-22 00:00:00,6996836,,4,,2865,2019,2020,0,1668043,1,0,,13,PROS,NA,PROS,07286731000194,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,SILT SELF SERVICE EIRELI ME,851,,,700,0,700,
56,2020-02-20 00:00:00,7020725,,4,,2865,2019,2020,0,1680002,2,0,,13,PROS,NA,PROS,07286731000194,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,SILT SELF SERVICE EIRELI ME,862,,,4200,0,4200,
56,2020-02-18 00:00:00,7020374,,4,,2725,2019,2020,0,1679816,2,0,,13,PSD,NA,PSD,22836210000157,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,ARTESANAL SERVICOS DE ALIMENTACAO E BUFFET EIRELI,31,,,2925,0,2925,
56,2020-02-21 00:00:00,7021438,,4,,2725,2019,2020,0,1680198,2,0,,13,PSD,NA,PSD,08906504000187,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,COSTA e ALMEIDA ORGANIZACAO DE EVENTOS LTDA - ME,152,,,1800,0,1800,
56,2020-03-03 00:00:00,7026034,,4,,2725,2019,2020,0,1682188,3,0,,13,PSD,NA,PSD,08906504000187,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,COSTA e ALMEIDA ORGANIZACAO DE EVENTOS LTDA - ME,154,,,900,0,900,
56,2020-01-29 00:00:00,7005811,,4,,2722,2019,2020,0,1672270,1,0,,1,PTB,NA,PTB,20238832000158,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,TAZZA COMERCIO DE MAQUINAS E INSUMOS EIRELI  ME,13943,,,375,0,375,
56,2020-01-30 00:00:00,7000561,,4,,2722,2019,2020,0,1669943,1,0,,13,PTB,NA,PTB,00672600000104,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,MERCADINHO LA PALMA LTDA,23772,,,119.74,0,119.74,
56,2020-02-03 00:00:00,7016840,,4,,2722,2019,2020,0,1677644,2,0,,13,PTB,NA,PTB,00672600000104,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,MERCADINHO LA PALMA LTDA,23788,,,301.63,0,301.63,
56,2020-02-11 00:00:00,7016859,,4,,2722,2019,2020,0,1677644,2,0,,13,PTB,NA,PTB,00672600000104,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,MERCADINHO LA PALMA LTDA,23835,,,214.78,0,214.78,
56,2020-02-17 00:00:00,7023535,,4,,2722,2019,2020,0,1681053,2,0,,13,PTB,NA,PTB,00672600000104,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,MERCADINHO LA PALMA LTDA,23875,,,302.3,0,302.3,
56,2020-01-04 00:00:00,7000058,,1,,2864,2019,2020,0,1669748,1,0,,1,SDD,NA,SDD,02999520000185,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,Adobe Systems Software,1131659566,,,124,0,124,
56,2020-01-08 00:00:00,6997676,,4,,2864,2019,2020,0,1668349,1,0,,1,SDD,NA,SDD,08532429000131,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,AMORETTO CAFES EXPRESSO LTDA,25030,,,777.7,0,777.7,
56,2020-01-13 00:00:00,7003264,,0,,2864,2019,2020,0,1671140,1,0,,9,SDD,NA,SDD,09296295000160,PASSAGENS AÉREAS,,AZUL LINHAS AÉREAS INTELIGENTES S.A,CDGMYP,JOSE RAMOS DE ALMEIDA JUNIOR; JOSE RAMOS DE ALMEIDA JUNIOR;,,1078.44,0,1078.44,
56,2020-01-27 00:00:00,7014486,66179,0,282,3163,2019,2020,0,1676094,1,0,,1,DEM,ES,Norma Ayub,28152650000171,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,041048291,,,35.05,1.67,33.38,
56,2020-01-27 00:00:00,7014487,66179,0,282,3163,2019,2020,0,1676094,1,0,,1,DEM,ES,Norma Ayub,28152650000171,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,041049243,,,67.5,0,67.5,
56,2020-01-27 00:00:00,7014488,66179,0,282,3163,2019,2020,0,1676094,1,0,,1,DEM,ES,Norma Ayub,28152650000171,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,041049300,,,195.13,3.46,191.67,
56,2020-01-20 00:00:00,7014430,66179,1,282,3163,2019,2020,0,1676071,2,0,,1,DEM,ES,Norma Ayub,04788356000192,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,MASTER TOWER,00405063,,,413.13,16.41,396.72,
56,2020-01-20 00:00:00,7014433,66179,1,282,3163,2019,2020,0,1676071,2,0,,1,DEM,ES,Norma Ayub,04788356000192,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,MASTER TOWER,00405064,,,421.75,16.75,405,
56,2020-01-20 00:00:00,7014437,66179,1,282,3163,2019,2020,0,1676071,2,0,,1,DEM,ES,Norma Ayub,04788356000192,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,MASTER TOWER,00405065,,,430.37,17.09,413.28,
56,2020-01-20 00:00:00,7014424,66179,1,282,3163,2019,2020,0,1676071,2,0,,1,DEM,ES,Norma Ayub,04788356000192,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,MASTER TOWER,00405066,,,439.31,17.45,421.86,
56,2020-02-06 00:00:00,7014456,66179,1,282,3163,2019,2020,0,1676076,1,0,,1,DEM,ES,Norma Ayub,27702464615,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,Paulo Roberto de Araújo Bastos,s/n,,,4500,0,4500,
56,2020-01-06 00:00:00,7014451,66179,1,282,3163,2019,2020,0,1676074,1,0,,1,DEM,ES,Norma Ayub,06069667000127,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,VITÓRIA TECNOLOGIA DA INFORMAÇÃO LTDA,006030,,,480,0,480,
56,2020-01-28 00:00:00,7014060,66179,4,282,3163,2019,2020,1,1675981,1,0,,3,DEM,ES,Norma Ayub,00995933000166,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,AUTO POSTO BANDEIRA LTDA - EPP,74793,,,237.54,0,237.54,
56,2020-01-17 00:00:00,7014059,66179,4,282,3163,2019,2020,1,1675981,1,0,,3,DEM,ES,Norma Ayub,16577742000114,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,AUTO POSTO ESCOLA COMERCIO DE COMBUSTIVEIS LUBRIFICANTES,488430,,,177.72,0,177.72,
56,2020-02-03 00:00:00,7002786,66179,4,282,3163,2019,2020,1,1670890,1,0,,3,DEM,ES,Norma Ayub,30879261000194,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,AUTO POSTO GOLDEN GAS LAGO LTDA,85679,,,100,0,100,
